arm_description,arm_label,arm_role,ascertainment,ascertainment_basis,assessment_type,attribution_as_stated,attribution_evidence,cns_compartment,comparator_arm,delivery_route,dose_regimen,dose_unit,dose_value,effect_direction,effect_vs_control,endpoint_tier,event_cluster_id,exposure_duration,grade_basis,grade_status,hydroceph_grade,indication_population,is_human_system,n_affected,n_affected_comparator,n_at_risk,n_at_risk_comparator,notes,oligo_name,organ_system,readout_category,readout_is_qualitative,readout_name,readout_term_verbatim,readout_unit,readout_value,redistribution,seriousness,source_key,source_location,source_ref,source_vocabulary,species,statistic,strain,study_type,system_model,timepoint,tox_axis
Had received four doses of intrathecal PLACEBO in the prior phase 1/2a trial before starting open-label tominersen,tominersen 120 mg intrathecal monthly (open-label extension),exposed,measured_positive,"Actively investigated: serial MRI, serial CSF sampling and a lumbar infusion study were performed because of the clinical deterioration.",investigator_diagnosis,drug_attributed,"""Here we report for the first time on a patient in receipt of this therapy who developed a communicating hydrocephalus that we diagnosed as being secondary to a sterile meningitis induced by tominersen.""",lateral_ventricles,NOT_APPLICABLE,intrathecal_lumbar,,NOT_APPLICABLE,NOT_REPORTED,increase,within-patient: the same patient received four doses of intrathecal placebo in the prior trial without this syndrome,A,L1-EVT-01,deterioration began after the fifth monthly dose,3 = hydrocephalus requiring permanent CSF diversion; a ventriculoperitoneal shunt was inserted (SCHEMA.md rubric grade 3).,provisional,3,"Huntington's disease, CAG 42, 54-year-old man",TRUE,1,NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,"Rows L1-EVT-01 (1 of 5) describe ONE patient and ONE clinical episode. They are separate measurements of that episode, not independent events, and must not be counted as such. Full text committed at sources/raw/sweep1_stoker2021_PMC7894279_fulltext.xml. Retrieved 2026-08-29.",tominersen,NOT_APPLICABLE,hydrocephalus_event,TRUE,communicating_hydrocephalus_diagnosed,NOT_APPLICABLE,diagnosis,communicating hydrocephalus,cc_by,NOT_REPORTED,Stoker_2021_MovDisord,"Discussion, paragraph 1",PMID 33125799; PMC7894279; doi 10.1002/mds.28359,NOT_APPLICABLE,human,NOT_REPORTED,NOT_APPLICABLE,clinical_case,Single case report within the tominersen open-label extension (the article names NCT03761849 as the concurrent phase 3; the patient was in the phase 1/2a OLE),after the fifth monthly dose and over the following 3 months,ventricular_enlargement
Had received four doses of intrathecal PLACEBO in the prior phase 1/2a trial before starting open-label tominersen,tominersen 120 mg intrathecal monthly (open-label extension),exposed,measured_positive,"Actively investigated: serial MRI, serial CSF sampling and a lumbar infusion study were performed because of the clinical deterioration.",investigator_diagnosis,drug_attributed,"""Serial brain magnetic resonance imaging revealed increasing ventricular dilation, with periventricular edema, consistent with hydrocephalus (Fig. 1C,D).""",lateral_ventricles,NOT_APPLICABLE,intrathecal_lumbar,,NOT_APPLICABLE,NOT_REPORTED,increase,within-patient: the same patient received four doses of intrathecal placebo in the prior trial without this syndrome,A,L1-EVT-01,deterioration began after the fifth monthly dose,"2 = symptomatic ventriculomegaly; the imaging change accompanied gait deterioration and preceded shunting (SCHEMA.md rubric grade 2). No ventricular volume is published, so readout_is_qualitative is TRUE and no number was read off the figure.",provisional,2,"Huntington's disease, CAG 42, 54-year-old man",TRUE,1,NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,"Rows L1-EVT-01 (2 of 5) describe ONE patient and ONE clinical episode. They are separate measurements of that episode, not independent events, and must not be counted as such. Full text committed at sources/raw/sweep1_stoker2021_PMC7894279_fulltext.xml. Retrieved 2026-08-29.",tominersen,NOT_APPLICABLE,ventricular_morphometry,TRUE,ventricular_dilation_on_serial_MRI,NOT_APPLICABLE,qualitative_imaging,increasing ventricular dilation with periventricular edema,cc_by,NOT_REPORTED,Stoker_2021_MovDisord,"Case description; Fig. 1C,D",PMID 33125799; PMC7894279; doi 10.1002/mds.28359,NOT_APPLICABLE,human,NOT_REPORTED,NOT_APPLICABLE,clinical_case,Single case report within the tominersen open-label extension (the article names NCT03761849 as the concurrent phase 3; the patient was in the phase 1/2a OLE),after the fifth monthly dose and over the following 3 months,ventricular_enlargement
Had received four doses of intrathecal PLACEBO in the prior phase 1/2a trial before starting open-label tominersen,tominersen 120 mg intrathecal monthly (open-label extension),exposed,measured_positive,"Actively investigated: serial MRI, serial CSF sampling and a lumbar infusion study were performed because of the clinical deterioration.",investigator_diagnosis,drug_attributed,"""His clinical deterioration was accompanied by a progressive increase in CSF protein, peaking at 2.64 g/L, and a CSF lymphocytosis, peaking at 46 cells/mm3 (Fig. 1A,B).""",lateral_ventricles,NOT_APPLICABLE,intrathecal_lumbar,,NOT_APPLICABLE,NOT_REPORTED,increase,within-patient: the same patient received four doses of intrathecal placebo in the prior trial without this syndrome,B,L1-EVT-01,deterioration began after the fifth monthly dose,"2 = the authors diagnosed a sterile meningitis, named at SCHEMA.md rubric grade 2. The CSF protein rise is the biochemical evidence for that diagnosis.",provisional,2,"Huntington's disease, CAG 42, 54-year-old man",TRUE,1,NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,"Rows L1-EVT-01 (3 of 5) describe ONE patient and ONE clinical episode. They are separate measurements of that episode, not independent events, and must not be counted as such. Full text committed at sources/raw/sweep1_stoker2021_PMC7894279_fulltext.xml. Retrieved 2026-08-29.",tominersen,NOT_APPLICABLE,csf_composition,FALSE,CSF_total_protein_peak,NOT_APPLICABLE,g/L,2.64,cc_by,NOT_REPORTED,Stoker_2021_MovDisord,Case description; Fig. 1A,PMID 33125799; PMC7894279; doi 10.1002/mds.28359,NOT_APPLICABLE,human,NOT_REPORTED,NOT_APPLICABLE,clinical_case,Single case report within the tominersen open-label extension (the article names NCT03761849 as the concurrent phase 3; the patient was in the phase 1/2a OLE),after the fifth monthly dose and over the following 3 months,csf_composition_disturbance
Had received four doses of intrathecal PLACEBO in the prior phase 1/2a trial before starting open-label tominersen,tominersen 120 mg intrathecal monthly (open-label extension),exposed,measured_positive,"Actively investigated: serial MRI, serial CSF sampling and a lumbar infusion study were performed because of the clinical deterioration.",investigator_diagnosis,drug_attributed,"""His gait improved dramatically after a high-volume CSF tap, and lumbar infusion studies confirmed increased resistance to CSF outflow (Fig. 1E).""",lateral_ventricles,NOT_APPLICABLE,intrathecal_lumbar,,NOT_APPLICABLE,NOT_REPORTED,increase,within-patient: the same patient received four doses of intrathecal placebo in the prior trial without this syndrome,B,L1-EVT-01,deterioration began after the fifth monthly dose,2 = a measured CSF-dynamics abnormality that was symptomatic and led to intervention (SCHEMA.md rubric grade 2). This row is the direct physiological measurement linking the tier-B CSF change to the tier-A ventricular outcome.,provisional,2,"Huntington's disease, CAG 42, 54-year-old man",TRUE,1,NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,"Rows L1-EVT-01 (4 of 5) describe ONE patient and ONE clinical episode. They are separate measurements of that episode, not independent events, and must not be counted as such. Full text committed at sources/raw/sweep1_stoker2021_PMC7894279_fulltext.xml. Retrieved 2026-08-29.",tominersen,NOT_APPLICABLE,csf_dynamics,TRUE,resistance_to_CSF_outflow_lumbar_infusion_study,NOT_APPLICABLE,qualitative_manometry,increased resistance to CSF outflow,cc_by,NOT_REPORTED,Stoker_2021_MovDisord,Case description; Fig. 1E,PMID 33125799; PMC7894279; doi 10.1002/mds.28359,NOT_APPLICABLE,human,NOT_REPORTED,NOT_APPLICABLE,clinical_case,Single case report within the tominersen open-label extension (the article names NCT03761849 as the concurrent phase 3; the patient was in the phase 1/2a OLE),after the fifth monthly dose and over the following 3 months,csf_dynamics
Had received four doses of intrathecal PLACEBO in the prior phase 1/2a trial before starting open-label tominersen,tominersen 120 mg intrathecal monthly (open-label extension),exposed,measured_positive,"Actively investigated: serial MRI, serial CSF sampling and a lumbar infusion study were performed because of the clinical deterioration.",investigator_diagnosis,drug_attributed,"""A ventriculoperitoneal shunt was therefore inserted, and his mobility improved to his baseline state. He did not receive any further doses of tominersen.""",lateral_ventricles,NOT_APPLICABLE,intrathecal_lumbar,,NOT_APPLICABLE,NOT_REPORTED,increase,within-patient: the same patient received four doses of intrathecal placebo in the prior trial without this syndrome,A,L1-EVT-01,deterioration began after the fifth monthly dose,3 = permanent CSF diversion performed (SCHEMA.md rubric grade 3).,provisional,3,"Huntington's disease, CAG 42, 54-year-old man",TRUE,1,NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,"Rows L1-EVT-01 (5 of 5) describe ONE patient and ONE clinical episode. They are separate measurements of that episode, not independent events, and must not be counted as such. Full text committed at sources/raw/sweep1_stoker2021_PMC7894279_fulltext.xml. Retrieved 2026-08-29.",tominersen,NOT_APPLICABLE,shunt_or_drain_intervention,TRUE,ventriculoperitoneal_shunt_inserted,NOT_APPLICABLE,intervention,ventriculoperitoneal shunt,cc_by,NOT_REPORTED,Stoker_2021_MovDisord,"Case description, final sentence",PMID 33125799; PMC7894279; doi 10.1002/mds.28359,NOT_APPLICABLE,human,NOT_REPORTED,NOT_APPLICABLE,clinical_case,Single case report within the tominersen open-label extension (the article names NCT03761849 as the concurrent phase 3; the patient was in the phase 1/2a OLE),after the fifth monthly dose and over the following 3 months,ventricular_enlargement
Hydrocephalus ascertained by one or more ICD-9/ICD-10 codes for any type of hydrocephalus after the index date,SMA cases,disease_background,measured_positive,Systematic ascertainment by ICD-9/ICD-10 diagnosis code in a 100-million-person EHR database over a defined study window.,investigator_diagnosis,disease_attributed,"""There were 5354 SMA cases and an equal number of matched non-SMA controls. Incident hydrocephalus events were identified in 42 SMA cases and 9 non-SMA controls. Hydrocephalus incidence rates per 100,000 person-months were 15.5 (95% CI: 11.2-20.9) among SMA cases and 3.3 (95% CI: 1.5-6.3) among non-SMA controls.""",whole_ventricular_system,non-SMA matched controls,NOT_APPLICABLE,,NOT_APPLICABLE,NOT_REPORTED,increase,see statistic,A,L2-BASELINE,NOT_APPLICABLE,"NOT GRADED. This row is a population incidence rate, not a per-subject severity, so the 0-3 rubric does not apply. It exists to give the drug-exposed rows a disease baseline.",not_graded,,"Spinal muscular atrophy, untreated era",TRUE,42,9,5354,5354,"NO DRUG EXPOSURE. The study window ends at nusinersen approval, so this is a disease baseline uncontaminated by the drug. Any analysis attributing hydrocephalus to an SMA-indicated oligonucleotide must be read against these rows. Exclude from compound-level toxicity analyses (tox_axis = disease_background_rate). Full text at sources/raw/sweep1_sma_hydro_incidence_PMC8105953.xml. Retrieved 2026-08-29.",NOT_APPLICABLE,NOT_APPLICABLE,hydrocephalus_event,FALSE,hydrocephalus_incidence_rate,NOT_APPLICABLE,per_100000_person_months,15.5,cc_by,NOT_REPORTED,Viscidi_2021_OJRD,"Abstract, Results",PMID 33962637; PMC8105953; doi 10.1186/s13023-021-01822-4,NOT_APPLICABLE,human,95% CI 11.2-20.9,NOT_APPLICABLE,background_epidemiology,"Retrospective matched-cohort study, US Optum de-identified electronic health records, study period 1 Jan 2007 - 22 Dec 2016 (i.e. before nusinersen approval)",study period 2007-01-01 to 2016-12-22,disease_background_rate
Hydrocephalus ascertained by one or more ICD-9/ICD-10 codes for any type of hydrocephalus after the index date,non-SMA matched controls,disease_background,measured_positive,Systematic ascertainment by ICD-9/ICD-10 diagnosis code in a 100-million-person EHR database over a defined study window.,investigator_diagnosis,disease_attributed,"""Hydrocephalus incidence rates per 100,000 person-months were 15.5 (95% CI: 11.2-20.9) among SMA cases and 3.3 (95% CI: 1.5-6.3) among non-SMA controls.""",whole_ventricular_system,SMA cases,NOT_APPLICABLE,,NOT_APPLICABLE,NOT_REPORTED,increase,see statistic,A,L2-BASELINE,NOT_APPLICABLE,"NOT GRADED. This row is a population incidence rate, not a per-subject severity, so the 0-3 rubric does not apply. It exists to give the drug-exposed rows a disease baseline.",not_graded,,Matched non-SMA controls,TRUE,9,42,5354,5354,"NO DRUG EXPOSURE. The study window ends at nusinersen approval, so this is a disease baseline uncontaminated by the drug. Any analysis attributing hydrocephalus to an SMA-indicated oligonucleotide must be read against these rows. Exclude from compound-level toxicity analyses (tox_axis = disease_background_rate). Full text at sources/raw/sweep1_sma_hydro_incidence_PMC8105953.xml. Retrieved 2026-08-29.",NOT_APPLICABLE,NOT_APPLICABLE,hydrocephalus_event,FALSE,hydrocephalus_incidence_rate,NOT_APPLICABLE,per_100000_person_months,3.3,cc_by,NOT_REPORTED,Viscidi_2021_OJRD,"Abstract, Results",PMID 33962637; PMC8105953; doi 10.1186/s13023-021-01822-4,NOT_APPLICABLE,human,95% CI 1.5-6.3,NOT_APPLICABLE,background_epidemiology,"Retrospective matched-cohort study, US Optum de-identified electronic health records, study period 1 Jan 2007 - 22 Dec 2016 (i.e. before nusinersen approval)",study period 2007-01-01 to 2016-12-22,disease_background_rate
Hydrocephalus ascertained by one or more ICD-9/ICD-10 codes for any type of hydrocephalus after the index date,SMA vs non-SMA incidence rate ratio,disease_background,measured_positive,Systematic ascertainment by ICD-9/ICD-10 diagnosis code in a 100-million-person EHR database over a defined study window.,investigator_diagnosis,disease_attributed,"""The incidence rate ratio was 4.7 (95% CI: 2.4-10.2). ... SMA patients had an approximately fourfold increased risk of hydrocephalus compared with non-SMA controls in the era preceding nusinersen treatment.""",whole_ventricular_system,non-SMA matched controls,NOT_APPLICABLE,,NOT_APPLICABLE,NOT_REPORTED,increase,see statistic,A,L2-BASELINE,NOT_APPLICABLE,"NOT GRADED. This row is a population incidence rate, not a per-subject severity, so the 0-3 rubric does not apply. It exists to give the drug-exposed rows a disease baseline.",not_graded,,SMA versus matched non-SMA controls,TRUE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,"NO DRUG EXPOSURE. The study window ends at nusinersen approval, so this is a disease baseline uncontaminated by the drug. Any analysis attributing hydrocephalus to an SMA-indicated oligonucleotide must be read against these rows. Exclude from compound-level toxicity analyses (tox_axis = disease_background_rate). Full text at sources/raw/sweep1_sma_hydro_incidence_PMC8105953.xml. Retrieved 2026-08-29.",NOT_APPLICABLE,NOT_APPLICABLE,hydrocephalus_event,FALSE,hydrocephalus_incidence_rate_ratio,NOT_APPLICABLE,incidence_rate_ratio,4.7,cc_by,NOT_REPORTED,Viscidi_2021_OJRD,"Abstract, Results and Conclusions",PMID 33962637; PMC8105953; doi 10.1186/s13023-021-01822-4,NOT_APPLICABLE,human,95% CI 2.4-10.2,NOT_APPLICABLE,background_epidemiology,"Retrospective matched-cohort study, US Optum de-identified electronic health records, study period 1 Jan 2007 - 22 Dec 2016 (i.e. before nusinersen approval)",study period 2007-01-01 to 2016-12-22,disease_background_rate
pooled trial participants,tofersen 100 mg intrathecal,exposed,measured_positive,"Serious adverse events defined per ICH guidance and diagnosed by investigators on symptoms, examination and diagnostic workup, as stated in the source's Methods.",investigator_diagnosis,drug_attributed,"""Ten participants (approximately 7% of tofersen 100-mg-treated trial participants) experienced a total of 12 serious neurologic AEs - 4 of myelitis, 2 of radiculitis, 2 of aseptic meningitis, and 4 of intracranial hypertension (ICH) and/or papilledema.""",CSF_and_neuraxis,NOT_APPLICABLE,intrathecal_lumbar,,NOT_APPLICABLE,NOT_REPORTED,increase,NOT_REPORTED,B,L3-TOFERSEN-SAE,trial programme duration,"2 = serious events of raised intracranial pressure and papilloedema, named at SCHEMA.md rubric grade 2. The source reports EVENTS, not participants, for this subtotal, so n_affected is NOT_REPORTED rather than 4.",provisional,2,SOD1 amyotrophic lateral sclerosis,TRUE,NOT_REPORTED,NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,"Licence is CC BY-NC-ND; only abstract-level summary statistics are carried and no underlying table is reproduced. Counts are EVENTS, not participants. Full text at sources/raw/sweep1_tofersen_seriousAE_PMC12060635.xml. Retrieved 2026-08-29.",tofersen,NOT_APPLICABLE,csf_pressure,FALSE,intracranial_hypertension_or_papilledema_serious_AE,NOT_APPLICABLE,events,4,summary_stat_only,NOT_REPORTED,Tofersen_seriousAE_2025_MuscleNerve,"Abstract, Results",PMID 40017137; PMC12060635; doi 10.1002/mus.28372,NOT_APPLICABLE,human,approximately 7% of tofersen 100-mg-treated trial participants experienced any of the 12 serious neurologic AEs,NOT_APPLICABLE,clinical_trial,Pooled analysis of the tofersen clinical trial programme,trial programme,csf_pressure_disturbance
pooled trial participants,tofersen 100 mg intrathecal,exposed,measured_positive,"Serious adverse events defined per ICH guidance and diagnosed by investigators on symptoms, examination and diagnostic workup, as stated in the source's Methods.",investigator_diagnosis,drug_attributed,"""...2 of aseptic meningitis, and 4 of intracranial hypertension (ICH) and/or papilledema. All events but one resolved either spontaneously, with dosing interruption/modification, or with concomitant therapies.""",CSF_and_neuraxis,NOT_APPLICABLE,intrathecal_lumbar,,NOT_APPLICABLE,NOT_REPORTED,increase,NOT_REPORTED,B,L3-TOFERSEN-SAE,trial programme duration,"2 = serious aseptic meningitis, named at SCHEMA.md rubric grade 2. Reported as events, not participants.",provisional,2,SOD1 amyotrophic lateral sclerosis,TRUE,NOT_REPORTED,NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,"Licence is CC BY-NC-ND; only abstract-level summary statistics are carried and no underlying table is reproduced. Counts are EVENTS, not participants. Full text at sources/raw/sweep1_tofersen_seriousAE_PMC12060635.xml. Retrieved 2026-08-29.",tofersen,NOT_APPLICABLE,csf_composition,FALSE,aseptic_meningitis_serious_AE,NOT_APPLICABLE,events,2,summary_stat_only,NOT_REPORTED,Tofersen_seriousAE_2025_MuscleNerve,"Abstract, Results",PMID 40017137; PMC12060635; doi 10.1002/mus.28372,NOT_APPLICABLE,human,approximately 7% of tofersen 100-mg-treated trial participants experienced any of the 12 serious neurologic AEs,NOT_APPLICABLE,clinical_trial,Pooled analysis of the tofersen clinical trial programme,trial programme,csf_composition_disturbance
